,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,3880.71,1452.96,1617.59,609.18,936.65,1422.72,1678.86,283.63,165.75,101.74,395.27,165.45,544.34,563.04,469.12,24.67,580.68
1,4037.37,1726.49,1947.58,797.89,1237.94,1894.13,1788.7,366.64,187.01,120.19,454.69,201.95,677.83,756.74,605.88,30.89,816.63
2,2043.76,862.54,1405.94,376.54,491.72,857.41,1171.41,154.5,84.21,47.09,179.61,78.75,267.93,290.2,237.47,12.27,314.15
3,2578.08,1139.61,1192.15,1101.25,2593.63,5049.72,2128.1,724.66,412.49,115.8,443.98,195.96,667.8,736.65,596.19,30.11,801.54
4,878.15,374.6,337.47,558.62,3593.11,4717.93,850.23,576.87,318.77,61.15,237.77,104.89,355.84,391.16,320.18,16.24,420.65
5,616.22,264.27,265.33,540.84,2249.83,13788.32,817.8,1073.3,716.66,46.29,180.64,75.86,249.21,257.46,215.15,11.3,262.1
6,3342.57,1089.97,1356.22,862.76,1603.44,3142.96,1769.86,536.18,308.16,101.5,400.76,174.3,605.46,626.26,514.05,26.35,663.57
7,691.34,272.98,262.95,437.31,1441.45,5649.25,771.88,1574.81,1190.73,58.37,228.91,99.97,345.93,370.66,301.38,15.42,406.0
8,545.62,214.52,209.11,325.7,1174.71,4896.84,723.02,1496.0,0.0,45.3,175.78,76.47,263.57,282.54,228.18,11.82,308.0
9,48.34,17.64,15.93,13.01,32.64,50.05,28.04,11.98,6.49,1263.13,2670.3,874.7,1308.78,1248.83,1537.11,98.68,964.77
10,133.24,47.58,44.91,35.46,88.94,136.18,77.39,32.7,17.68,865.31,9965.48,2623.29,4366.54,3926.79,4630.56,298.3,2965.21
11,137.19,49.47,46.27,36.86,92.91,140.98,79.46,33.48,18.17,79.33,567.5,2771.53,955.05,6397.01,8218.04,387.95,3942.0
12,241.22,86.81,82.08,64.71,163.73,249.68,140.55,60.11,32.65,61.04,237.1,98.89,0.0,7883.87,243.76,12.96,5635.32
13,223.0,84.44,76.44,62.38,159.46,235.72,130.48,54.56,29.59,72.78,283.02,156.13,604.19,3685.44,348.4,22.28,13575.41
14,78.09,28.33,27.1,20.58,53.85,81.85,45.05,19.95,10.97,9.44,36.58,12.44,0.0,4412.53,5651.21,0.0,2552.09
15,68.02,24.62,23.05,18.51,46.63,70.37,39.7,16.53,9.02,23.26,196.22,42.18,2085.08,2613.32,0.0,0.0,1929.99
16,253.58,97.16,87.61,72.27,185.78,272.08,149.47,62.41,33.96,83.58,322.46,131.4,365.86,769.16,359.81,19.06,17676.88
